Row Labels,Africa,Antarctica and Oceania (including Australasia) and Other,British Overseas,Europe: EU countries: All other EU countries,Europe: EU countries: European Union EU14,Europe: EU countries: European Union EU2,Europe: EU countries: European Union EU8,Europe: Non-EU countries: All other non-EU countries,Europe: United Kingdom,Middle East and Asia,The Americas and the Caribbean,TotalOri
E00073453,8,0,0,0,7,6,10,2,259,12,11,315
E00073454,9,0,0,0,27,0,8,4,262,10,11,331
E00073455,4,5,0,0,18,1,5,2,268,4,15,322
E00073456,11,9,0,1,22,3,2,2,197,11,13,271
E00073457,9,5,0,0,20,1,1,2,163,7,11,219
E00073458,5,9,0,2,14,0,0,2,231,9,11,283
E00073461,0,1,0,0,4,1,3,1,186,6,10,212
E00073462,12,5,2,0,19,6,4,4,322,15,5,394
E00073463,11,4,0,0,17,0,7,1,146,13,3,202
E00073464,14,5,0,0,10,0,7,1,488,23,7,555
E00073465,2,0,0,0,15,4,9,2,300,6,14,352
E00073466,8,0,2,0,33,0,5,4,333,28,11,424
E00073467,9,5,0,0,10,0,5,0,226,10,11,276
E00073468,2,2,0,2,10,1,0,3,305,6,11,342
E00073469,8,0,0,1,8,0,5,3,192,11,5,233
E00073470,9,2,0,0,34,1,4,6,283,14,7,360
E00073471,5,1,0,0,10,1,8,2,159,8,6,200
E00073472,3,3,0,0,19,0,9,11,191,20,12,268
E00073473,8,0,0,2,24,0,1,0,368,40,8,451
E00073474,1,0,0,0,9,1,0,1,153,4,7,176
E00073476,5,1,0,0,15,0,1,0,225,15,13,275
E00073477,8,4,0,0,18,0,3,6,210,16,8,273
E00073478,5,2,0,0,12,0,1,2,192,14,8,236
E00073479,0,5,0,2,17,2,1,2,206,11,6,252
E00073480,4,6,0,0,5,0,1,1,235,19,12,283
E00073481,12,5,1,2,23,0,5,5,389,17,21,480
E00073482,7,2,1,0,16,1,9,4,321,20,15,396
E00073483,5,0,1,0,25,4,5,4,269,25,11,349
E00073484,0,0,0,0,19,0,3,4,195,32,12,265
E00073485,5,4,0,1,17,0,3,3,186,8,7,234
E00073486,12,0,0,0,32,2,12,2,212,24,82,378
E00073487,4,3,0,0,13,1,4,2,237,15,9,288
E00073488,2,3,0,1,22,1,4,0,212,15,15,275
E00073489,0,7,0,0,10,0,2,0,187,6,17,229
E00073490,9,5,0,0,14,0,3,3,213,19,12,278
E00073491,11,0,0,2,19,1,0,3,206,73,14,329
E00073492,2,6,0,2,18,3,1,4,236,11,14,297
E00073493,14,0,1,0,25,1,3,4,224,52,14,338
E00073494,4,4,0,1,21,4,6,1,288,20,8,357
E00073495,16,4,0,0,14,5,11,9,329,33,14,435
E00073496,10,3,0,2,29,2,12,11,395,47,11,522
E00073497,5,0,0,0,15,2,1,3,224,16,5,271
E00073498,1,0,0,1,24,1,6,0,202,6,6,247
E00073499,7,0,1,1,6,2,3,1,198,12,8,239
E00073500,4,3,1,0,34,2,8,4,350,8,7,421
E00073501,9,1,0,0,10,1,7,4,298,6,14,350
E00073502,6,1,0,2,21,1,5,5,309,20,6,376
E00073503,6,0,0,0,18,0,2,3,194,20,9,252
E00073504,6,0,0,2,26,0,5,4,271,18,16,348
E00073505,5,0,0,0,14,3,3,0,158,26,10,219
E00073506,8,4,0,0,13,0,4,4,237,15,6,291
E00073507,0,1,0,0,12,0,0,1,142,3,4,163
E00073508,5,1,0,0,14,0,4,8,209,3,7,251
E00073509,7,3,0,0,24,0,4,5,231,29,7,310
E00073510,7,0,0,0,11,1,3,2,235,20,14,293
E00073511,3,1,0,1,16,2,10,1,201,20,7,262
E00073512,4,5,2,1,13,2,3,3,272,16,11,332
E00073513,11,4,0,0,10,1,3,9,226,19,9,292
E00073514,1,0,0,0,12,3,10,6,307,15,2,356
E00073515,4,2,0,1,12,3,3,5,243,11,15,299
E00073516,14,4,0,2,26,0,5,2,277,13,17,360
E00073517,9,4,0,1,13,2,3,4,213,16,9,274
E00073518,3,5,1,0,24,1,3,0,172,17,15,241
E00073519,8,4,0,1,12,3,3,5,296,10,3,345
E00073520,6,5,1,0,14,0,3,6,273,9,5,322
E00073521,6,1,0,2,19,0,6,2,295,5,11,347
E00073522,0,1,0,1,19,0,5,2,277,11,3,319
E00073523,4,2,0,0,23,1,7,2,200,9,4,252
E00073524,2,5,0,0,16,0,5,0,239,23,6,296
E00073525,4,4,0,3,21,0,6,1,280,10,0,329
E00073526,10,0,0,0,8,4,10,0,261,18,9,320
E00073527,4,0,0,2,24,5,6,3,246,25,12,327
E00073528,0,1,0,1,32,1,4,2,266,11,10,328
E00073529,0,2,1,0,17,0,5,8,250,19,14,316
E00073530,7,5,0,0,20,2,5,6,289,11,7,352
E00073531,3,9,0,0,14,0,9,2,282,14,9,342
E00073532,9,0,0,0,38,2,11,6,427,26,18,537
E00073533,6,3,0,0,22,0,2,5,252,9,5,304
E00073534,2,6,1,0,7,2,3,3,244,12,5,285
E00073535,2,0,0,0,19,0,2,4,175,12,3,217
E00073536,0,6,0,0,18,0,1,0,178,7,7,217
E00073537,8,2,2,0,25,0,1,2,295,13,7,355
E00073538,4,0,0,0,14,6,3,3,224,7,6,267
E00073539,5,2,0,0,11,0,5,7,170,4,4,208
E00073540,4,0,0,0,10,0,0,2,181,10,7,214
E00073541,6,1,0,2,16,0,4,4,270,16,9,328
E00073542,5,4,0,0,13,1,3,5,233,28,0,292
E00073543,0,5,0,0,16,3,0,5,280,11,3,323
E00073544,5,1,0,0,16,0,4,1,232,14,8,281
E00073545,9,0,0,0,31,2,8,3,338,8,4,403
E00073546,4,4,1,0,16,4,5,1,360,10,7,412
