Row Labels,1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,TotalBed
E00073447,26,60,24,15,125
E00073448,11,26,38,43,118
E00073449,25,71,11,4,111
E00073450,12,72,26,17,127
E00073451,29,80,16,21,146
E00073452,41,73,24,13,151
E00073453,42,68,17,23,150
E00073454,34,67,27,31,159
E00073455,30,54,26,31,141
E00073456,23,64,31,14,132
E00073457,37,64,8,6,115
E00073458,14,67,19,28,128
E00073461,36,36,15,25,112
E00073462,15,22,35,69,141
E00073463,81,32,5,8,126
E00073464,28,30,29,48,135
E00073465,33,55,21,48,157
E00073466,41,86,27,9,163
E00073467,38,62,21,21,142
E00073468,4,50,54,36,144
E00073469,8,39,43,32,122
E00073470,35,78,45,30,188
E00073471,40,46,11,9,106
E00073472,14,61,30,21,126
E00073473,62,18,5,9,94
E00073474,10,30,19,21,80
E00073476,57,33,12,27,129
E00073477,26,34,34,41,135
E00073478,27,67,23,9,126
E00073479,31,30,22,39,122
E00073480,20,65,36,24,145
E00073481,45,87,26,64,222
E00073482,45,52,44,32,173
E00073483,43,60,30,24,157
E00073484,30,50,33,11,124
E00073485,67,31,4,14,116
E00073486,36,78,23,17,154
E00073487,41,34,19,37,131
E00073488,43,55,9,10,117
E00073489,18,56,27,15,116
E00073490,34,54,16,28,132
E00073491,45,67,7,16,135
E00073492,34,58,27,24,143
E00073493,62,36,15,22,135
E00073494,41,64,18,10,133
E00073495,59,38,10,4,111
E00073496,56,64,23,25,168
E00073497,10,63,32,22,127
E00073498,34,26,20,31,111
E00073499,58,13,11,33,115
E00073500,28,45,26,57,156
E00073501,10,38,31,54,133
E00073502,14,49,41,36,140
E00073503,39,66,19,8,132
E00073504,28,36,16,49,129
E00073505,43,44,7,7,101
E00073506,19,68,24,22,133
E00073507,42,38,6,11,97
E00073508,22,40,16,29,107
E00073509,24,57,27,18,126
E00073510,22,61,7,33,123
E00073511,50,31,21,24,126
E00073512,15,29,25,56,125
E00073513,48,92,6,12,158
E00073514,43,27,17,50,137
E00073515,33,36,27,31,127
E00073516,58,51,8,36,153
E00073517,77,23,11,21,132
E00073518,23,66,18,9,116
E00073519,34,49,14,39,136
E00073520,53,84,9,20,166
E00073521,31,50,11,33,125
E00073522,28,26,15,52,121
E00073523,53,51,15,8,127
E00073524,19,63,15,30,127
E00073525,40,73,18,25,156
E00073526,48,34,15,26,123
E00073527,49,48,12,34,143
E00073528,38,43,14,24,119
E00073529,38,58,18,23,137
E00073530,13,49,22,47,131
E00073531,32,40,26,40,138
E00073532,42,64,51,60,217
E00073533,7,7,21,78,113
E00073534,17,44,10,48,119
E00073535,16,56,13,19,104
E00073536,47,39,11,14,111
E00073537,26,41,35,43,145
E00073538,22,30,26,41,119
E00073539,41,35,13,21,110
E00073540,36,31,8,25,100
E00073541,26,27,24,39,116
E00073542,30,53,19,23,125
E00073543,45,39,11,37,132
E00073544,42,23,15,47,127
E00073545,71,59,25,34,189
E00073546,27,23,17,60,127
E00073547,51,68,14,15,148
E00073548,45,35,7,57,144
E00073549,50,71,15,16,152
E00073550,21,32,20,47,120
E00073551,26,29,15,45,115
E00073552,33,34,16,35,118
E00073553,23,43,16,32,114
E00073554,30,12,13,47,102
