Row Labels,Any other combination of only UK identities,British only identity,Cornish and British only identity,Cornish only identity,Does not apply,English and British only identity,English only identity,Irish and at least one UK identity,Irish only identity,Northern Irish and British only identity,Northern Irish only identity,Other identity and at least one UK identity,Other identity only,Scottish and British only identity,Scottish only identity,Welsh and British only identity,Welsh only identity,TotalIde
E00073285,3,238,0,0,0,41,35,3,1,0,0,11,29,2,1,2,10,376
E00073286,3,220,0,1,0,29,38,1,9,1,0,9,18,0,1,4,4,338
E00073287,4,160,0,0,0,46,16,3,5,0,1,12,39,0,2,2,4,294
E00073288,0,199,0,1,0,42,18,0,1,0,0,9,36,1,0,2,6,315
E00073289,2,243,0,0,0,35,27,6,5,0,5,8,20,2,4,1,8,366
E00073290,5,195,0,0,0,45,21,0,1,0,3,14,28,3,0,1,3,319
E00073291,0,216,0,0,0,34,32,1,0,0,0,11,31,4,3,1,5,338
E00073292,5,290,1,0,0,102,58,2,5,0,0,10,36,4,2,9,24,548
E00073293,2,245,0,0,0,42,37,2,4,3,3,14,41,2,0,5,4,404
E00073294,5,244,0,1,0,57,40,0,5,0,2,13,51,1,2,6,16,443
E00073295,0,191,0,0,0,53,29,1,4,2,0,19,25,1,4,0,9,338
E00073296,0,184,0,1,0,56,19,2,3,0,0,7,28,1,3,2,5,311
E00073297,1,215,0,0,0,62,27,1,4,2,0,15,27,0,2,2,8,366
E00073298,1,218,0,0,0,48,36,0,5,3,1,8,69,1,5,2,17,414
E00073299,4,241,0,0,0,49,30,1,4,3,0,6,26,3,4,0,10,381
E00073300,1,170,1,0,0,32,19,2,5,1,3,12,17,0,1,2,4,270
E00073301,2,189,0,1,0,53,93,0,5,0,0,2,24,0,2,1,2,374
E00073302,0,210,0,0,0,68,67,2,0,0,1,2,20,0,0,0,2,372
E00073303,0,218,0,0,0,103,79,1,0,0,0,7,13,0,1,0,4,426
E00073304,1,184,0,0,0,43,53,1,7,0,0,1,22,0,1,0,1,314
E00073305,1,191,0,1,0,29,53,0,1,0,1,6,17,0,1,0,2,303
E00073306,1,152,0,0,0,43,54,0,1,0,0,2,7,0,0,3,2,265
E00073307,0,148,0,0,0,46,62,0,4,0,0,7,17,0,0,0,2,286
E00073308,0,186,0,0,0,52,71,0,1,1,0,4,12,0,0,1,6,334
E00073309,0,169,0,0,0,41,54,0,0,0,0,1,24,0,1,0,3,293
E00073310,0,210,0,0,0,70,63,0,0,0,0,3,22,1,0,0,0,369
E00073311,1,179,0,0,0,37,58,0,1,0,1,7,23,0,1,1,4,313
E00073312,0,201,0,0,0,63,70,0,0,0,0,0,30,2,0,0,0,366
E00073313,0,229,0,1,0,77,45,0,2,0,0,4,22,0,0,2,1,383
E00073314,3,163,0,0,0,52,30,0,0,0,0,1,29,0,0,3,4,285
E00073315,1,107,0,0,0,36,35,0,0,0,0,2,16,0,0,1,0,198
E00073316,0,213,0,0,0,53,23,0,4,0,0,0,27,0,0,1,2,323
E00073317,2,176,0,0,0,38,46,1,0,0,0,6,16,0,1,0,1,287
E00073318,1,234,0,0,0,63,55,0,5,2,0,2,13,0,2,0,0,377
E00073319,2,268,0,0,0,75,55,1,1,0,0,8,34,1,2,4,3,454
E00073320,1,214,0,0,0,48,68,3,0,0,0,6,19,0,0,1,5,365
E00073321,0,178,0,0,0,34,57,0,0,1,1,1,31,0,0,0,4,307
E00073322,1,172,0,0,0,66,72,0,1,0,0,4,0,0,2,2,2,322
E00073323,1,159,0,0,0,41,51,0,0,0,0,8,8,0,2,0,4,274
E00073324,0,224,0,0,0,68,61,2,1,0,0,10,6,1,0,0,2,375
E00073325,0,201,0,0,0,78,55,2,3,1,1,11,17,0,0,4,2,375
E00073326,0,162,0,0,0,41,71,0,1,0,0,0,22,0,0,0,3,300
E00073327,0,203,0,0,0,67,57,0,2,0,0,1,22,0,2,2,0,356
E00073328,3,193,0,0,0,56,66,0,0,0,0,3,28,0,5,3,4,361
E00073329,2,163,0,0,0,55,68,0,0,0,0,2,9,0,0,0,2,301
E00073330,0,200,0,0,0,56,97,0,2,0,0,9,23,0,0,1,1,389
E00073331,0,293,0,0,0,78,49,0,0,0,0,5,11,0,2,1,3,442
E00073332,0,176,0,0,0,68,37,0,0,0,0,5,10,0,0,0,0,296
E00073333,0,145,0,0,0,68,65,0,2,0,0,2,8,1,0,0,1,292
E00073334,1,179,0,0,0,63,62,0,0,0,0,3,14,0,0,0,0,322
E00073335,0,230,0,0,0,65,95,0,0,0,0,6,39,0,0,3,0,438
E00073336,0,163,0,0,0,34,79,0,1,0,0,7,17,0,2,0,2,305
E00073337,0,180,0,0,0,57,67,0,0,0,0,3,24,1,0,0,3,335
E00073338,0,150,0,0,0,42,52,1,2,0,0,10,13,0,0,2,2,274
E00073339,1,132,0,2,0,42,27,0,0,0,0,17,61,0,2,2,7,293
E00073340,0,134,0,1,0,37,48,0,0,0,0,6,17,4,1,1,2,251
E00073341,1,152,0,0,0,52,35,0,1,0,1,5,35,2,3,0,4,291
E00073342,0,235,0,0,0,61,79,0,1,0,1,5,29,1,0,1,1,414
E00073343,0,209,0,0,0,78,52,0,2,2,1,8,21,0,0,2,5,380
E00073344,3,108,0,0,0,39,42,0,0,0,0,10,43,0,0,1,2,248
E00073345,1,96,0,0,0,22,34,1,0,0,0,1,8,0,2,0,5,170
E00073346,0,193,0,0,0,58,58,2,0,0,0,9,25,2,1,1,3,352
E00073347,0,67,0,0,0,38,25,0,0,1,1,10,33,0,4,1,7,187
E00073348,0,133,0,0,0,40,30,1,0,0,1,17,48,1,1,0,3,275
E00073349,1,198,0,0,0,63,24,1,0,0,0,6,35,0,2,2,2,334
E00073350,0,207,0,1,0,50,40,1,0,0,0,12,40,0,1,1,8,361
E00073351,1,212,0,0,0,55,53,0,0,0,0,11,32,2,0,0,1,367
E00073352,0,137,0,0,0,45,39,0,1,0,0,14,38,0,0,1,1,276
E00073353,3,203,0,0,0,68,42,2,3,0,0,5,27,0,0,1,5,359
E00073354,2,171,0,0,0,47,62,3,5,0,0,3,48,0,0,2,3,346
E00073355,0,219,0,0,0,50,34,1,1,0,3,23,27,2,0,1,2,363
E00073356,0,201,0,0,0,66,50,0,1,0,0,8,53,3,1,1,5,389
